GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1500000US530330005001,530330005001,"Block Group 1, Census Tract 5, King County, Washington",462,56,8,13,7,11,9,15,8,12,0,12,0,12,9,14,0,12,9,14,8,13,16,18,40,29,76,40,35,29,63,37,174,58
1500000US530330005002,530330005002,"Block Group 2, Census Tract 5, King County, Washington",338,50,15,17,17,20,0,12,8,13,26,23,0,12,9,14,21,22,10,16,0,12,26,20,10,16,10,16,44,32,70,37,72,39
1500000US530330005003,530330005003,"Block Group 3, Census Tract 5, King County, Washington",451,58,9,15,8,14,9,14,18,20,13,17,35,31,11,16,10,16,0,12,20,21,22,23,44,43,34,28,43,28,61,33,114,47
1500000US530330006001,530330006001,"Block Group 1, Census Tract 6, King County, Washington",471,83,15,25,0,12,0,12,0,12,16,26,16,25,0,12,0,12,20,33,83,47,52,44,88,49,53,50,50,50,30,34,48,40
1500000US530330006002,530330006002,"Block Group 2, Census Tract 6, King County, Washington",619,123,0,12,18,29,15,25,111,112,63,66,32,39,12,18,94,76,0,12,20,31,47,43,57,47,68,54,52,47,30,34,0,12
1500000US530330006003,530330006003,"Block Group 3, Census Tract 6, King County, Washington",701,145,30,35,15,25,0,12,0,12,67,76,0,12,16,25,100,77,33,30,64,52,65,45,139,113,103,84,13,22,37,42,19,31
1500000US530330006004,530330006004,"Block Group 4, Census Tract 6, King County, Washington",743,123,13,20,29,32,78,69,17,29,14,22,0,12,42,49,64,74,18,28,98,70,80,55,75,77,60,53,66,49,89,60,0,12
1500000US530330006005,530330006005,"Block Group 5, Census Tract 6, King County, Washington",355,94,13,22,0,12,56,67,0,12,0,12,16,25,0,12,56,28,0,12,31,36,25,28,57,46,14,22,0,12,68,73,19,29
1500000US530330006006,530330006006,"Block Group 6, Census Tract 6, King County, Washington",524,122,65,53,62,79,0,12,16,28,16,26,0,12,0,12,14,23,29,36,47,43,30,33,41,38,36,39,36,42,100,95,32,38
1500000US530330007001,530330007001,"Block Group 1, Census Tract 7, King County, Washington",937,149,99,68,41,43,103,73,48,63,22,27,43,43,26,41,105,72,36,41,157,90,36,38,153,99,39,46,0,12,29,33,0,12
1500000US530330007002,530330007002,"Block Group 2, Census Tract 7, King County, Washington",530,118,20,30,0,12,29,34,18,30,35,41,37,42,50,46,52,58,50,46,24,37,13,21,88,95,65,53,28,31,0,12,21,31
1500000US530330007003,530330007003,"Block Group 3, Census Tract 7, King County, Washington",452,107,63,46,0,12,0,12,14,21,0,12,0,12,0,12,0,12,14,22,87,85,26,31,55,51,86,75,17,29,26,32,64,39
1500000US530330007004,530330007004,"Block Group 4, Census Tract 7, King County, Washington",303,82,0,12,35,41,0,12,16,28,0,12,0,12,14,23,43,67,20,32,19,31,20,30,32,34,44,34,0,12,34,41,26,32
1500000US530330008001,530330008001,"Block Group 1, Census Tract 8, King County, Washington",508,51,22,25,7,10,21,23,0,12,0,12,6,11,23,21,0,12,17,20,8,13,119,63,86,45,65,37,46,28,13,15,75,35
1500000US530330008002,530330008002,"Block Group 2, Census Tract 8, King County, Washington",559,68,32,31,11,17,32,45,8,14,12,17,14,23,10,16,15,12,6,10,0,12,28,26,78,45,50,31,58,38,91,48,114,46
1500000US530330009001,530330009001,"Block Group 1, Census Tract 9, King County, Washington",437,42,7,11,0,12,15,16,6,9,0,12,0,12,7,11,9,13,13,10,19,17,12,13,56,22,47,27,43,26,48,27,155,33
1500000US530330009002,530330009002,"Block Group 2, Census Tract 9, King County, Washington",431,53,18,18,7,10,0,12,0,12,0,12,43,25,43,28,8,12,0,12,1,4,20,17,41,27,32,32,37,25,51,22,130,41
1500000US530330010001,530330010001,"Block Group 1, Census Tract 10, King County, Washington",353,54,31,26,5,8,6,9,28,28,44,36,10,10,0,12,12,12,0,12,30,19,32,20,26,16,36,20,29,19,40,27,24,19
1500000US530330010002,530330010002,"Block Group 2, Census Tract 10, King County, Washington",412,50,5,8,6,8,23,17,8,11,16,24,12,13,0,12,0,12,6,10,17,15,25,20,38,20,73,36,45,23,73,30,65,36
1500000US530330011001,530330011001,"Block Group 1, Census Tract 11, King County, Washington",502,73,8,13,8,13,0,12,9,14,8,13,17,19,11,16,17,19,33,39,75,61,78,46,74,41,43,31,51,27,55,32,15,23
1500000US530330011002,530330011002,"Block Group 2, Census Tract 11, King County, Washington",590,55,19,22,34,26,6,10,8,13,0,12,20,21,25,38,28,28,26,21,25,38,65,39,45,33,87,42,28,24,107,64,67,42
1500000US530330012001,530330012001,"Block Group 1, Census Tract 12, King County, Washington",491,84,0,12,29,34,12,22,0,12,0,12,17,28,0,12,14,24,33,38,34,40,0,12,28,31,130,60,66,47,48,48,80,61
1500000US530330012002,530330012002,"Block Group 2, Census Tract 12, King County, Washington",444,142,0,12,58,90,57,92,15,25,30,24,19,30,0,12,0,12,0,12,93,92,23,36,53,48,29,36,10,18,34,39,23,27
1500000US530330012003,530330012003,"Block Group 3, Census Tract 12, King County, Washington",1153,183,99,81,191,115,114,81,207,113,0,12,17,26,36,41,0,12,39,59,84,59,35,40,175,80,97,85,29,33,30,47,0,12
1500000US530330012004,530330012004,"Block Group 4, Census Tract 12, King County, Washington",744,147,83,89,14,24,0,12,58,55,82,87,23,27,60,56,65,62,58,51,42,39,89,77,38,36,20,31,16,27,96,98,0,12
1500000US530330012005,530330012005,"Block Group 5, Census Tract 12, King County, Washington",949,181,253,152,123,125,12,20,73,94,0,12,0,12,45,44,34,39,78,60,121,68,49,46,97,71,49,45,0,12,15,24,0,12
1500000US530330013001,530330013001,"Block Group 1, Census Tract 13, King County, Washington",882,116,100,77,67,79,0,12,23,34,60,47,42,39,16,26,13,20,48,43,54,47,10,16,145,75,46,36,47,42,31,26,180,99
1500000US530330013002,530330013002,"Block Group 2, Census Tract 13, King County, Washington",692,130,36,35,27,32,32,50,16,26,15,23,37,31,0,12,33,55,25,29,65,53,100,74,98,62,18,24,86,90,67,66,37,32
1500000US530330013003,530330013003,"Block Group 3, Census Tract 13, King County, Washington",689,112,11,17,51,48,30,32,56,74,0,12,29,33,0,12,32,38,49,38,41,36,62,60,60,61,111,67,23,23,53,46,81,55
1500000US530330014001,530330014001,"Block Group 1, Census Tract 14, King County, Washington",549,97,104,98,34,41,15,25,50,47,0,12,0,12,15,24,33,37,0,12,18,28,107,73,80,42,32,35,15,24,16,25,30,25
1500000US530330014002,530330014002,"Block Group 2, Census Tract 14, King County, Washington",539,101,30,33,19,31,32,35,0,12,36,38,46,41,12,18,0,12,19,29,30,37,40,38,47,43,47,43,58,37,60,50,63,69
1500000US530330014003,530330014003,"Block Group 3, Census Tract 14, King County, Washington",564,96,0,12,0,12,18,29,36,44,0,12,20,33,16,25,17,26,30,34,106,93,82,59,75,56,31,35,58,43,30,34,45,45
1500000US530330014004,530330014004,"Block Group 4, Census Tract 14, King County, Washington",681,93,15,25,0,12,0,12,0,12,0,12,58,88,0,12,50,37,0,12,103,92,36,40,45,42,0,12,117,61,75,54,182,80
